English,Kannada
find,ತಿಳಿಸು
head,ತಲೆ
stand,ನಿಂತು
own,ಸ್ವಂತ
page,ಪುಟ
should,ಮಾಡಬೇಕು
country,ದೇಶ
found,ಕಂಡು
answer,ಉತ್ತರ
school,ಶಾಲೆ
grow,ಬೆಳೆ
study,ಅಧ್ಯಯನ
still,ಇನ್ನೂ
learn,ಕಲಿ
plant,ಸಸ್ಯ
cover,ಕವರ್
food,ಆಹಾರ
sun,ಸೂರ್ಯ
four,ನಾಲ್ಕು
between,ನಡುವೆ
state,ರಾಜ್ಯ
keep,ಕೀಪ್
eye,ಕಣ್ಣು
never,ಎಂದಿಗೂ
last,ಕೊನೆಯ
let,ಅವಕಾಶ
thought,ವಿಚಾರ
city,ನಗರ
tree,ಮರ
cross,ದಾಟಲು
farm,ಕೃಷಿ
hard,ಕಠಿಣ
start,ಪ್ರಾರಂಭಿಸು
might,ಇರಬಹುದು
story,ಕಥೆ
saw,ಕಂಡಿತು
far,ದೂರದ
sea,ಸಮುದ್ರ
draw,ಬಿಡಿ
left,ಎಡ
late,ಕೊನೆಯಲ್ಲಿ
run,ಓಡು
don’t,ಇಲ್ಲ
while,ಹಾಗೆಯೇ
press,ಒತ್ತಿ
close,ಮುಚ್ಚು
night,ರಾತ್ರಿ
real,ನಿಜವಾದ
life,ಜೀವನ
few,ಕೆಲವು
north,ಉತ್ತರ
book,ಪುಸ್ತಕ
carry,ಸಾಗಿಸು
took,ತೆಗೆದುಕೊಂಡ
science,ವಿಜ್ಞಾನ
eat,ತಿನ್ನು
room,ಕೊಠಡಿ
friend,ಸ್ನೇಹಿತ
began,ಪ್ರಾರಂಭವಾಯಿತು
idea,ಕಲ್ಪನೆ
fish,ಮೀನು
mountain,ಪರ್ವತ
stop,ನಿಲ್ಲಿಸು
once,ಒಮ್ಮೆ
base,ಬೇಸ್
hear,ಕೇಳು
horse,ಕುದುರೆ
cut,ಕಟ್
sure,ಖಚಿತ
watch,ವಾಚ್
color,ಬಣ್ಣ
face,ಮುಖ
wood,ಮರ
main,ಮುಖ್ಯ
open,ತೆರೆ
seem,ತೋರುತ್ತದೆ
together,ಒಟ್ಟಿಗೆ
next,ಮುಂದಿನ
white,ಬಿಳಿ
children,ಮಕ್ಕಳು
begin,ಆರಂಭಿಸಲು
got,ಗಾಟ್
walk,ನಡೆದಾಡು
example,ಉದಾಹರಣೆ
ease,ಸುಲಭವಾಗಿ
paper,ಕಾಗದ
group,ಗುಂಪು
always,ಯಾವಾಗಲೂ
music,ಸಂಗೀತ
those,ಈ
both,ಇಬ್ಬರೂ
mark,ಗುರುತು
often,ಆಗಾಗ್ಗೆ
letter,ಪತ್ರ
until,ತನಕ
mile,ಮೈಲು
river,ನದಿ
car,ಕಾರು
feet,ಅಡಿ
care,ಆರೈಕೆ
second,ಎರಡನೇ
enough,ಸಾಕು
plain,ಸರಳ
girl,ಹುಡುಗಿ
usual,ಸಾಮಾನ್ಯ
young,ಯಂಗ್
ready,ಸಿದ್ಧ
above,ಮೇಲೆ
ever,ಎಂದಿಗೂ
red,ಕೆಂಪು
list,ಪಟ್ಟಿ
though,ಆದರೂ
feel,ಅನುಭವಿಸು
talk,ಮಾತು
bird,ಹಕ್ಕಿ
soon,ಬೇಗ
body,ದೇಹ
dog,ನಾಯಿ
family,ಕುಟುಂಬ
direct,ನೇರ
pose,ಭಂಗಿ
leave,ಬಿಡಿ
song,ಹಾಡು
measure,ಅಳತೆ
door,ಬಾಗಿಲು
product,ಉತ್ಪನ್ನ
black,ಕಪ್ಪು
short,ಅಲ್ಪ
numeral,ಸಂಖ್ಯಾವಾಚಕ
class,ವರ್ಗ
wind,ಗಾಳಿ
question,ಪ್ರಶ್ನೆ
happen,ಸಂಭವಿಸು
complete,ಸಂಪೂರ್ಣ
ship,ಹಡಗು
area,ಪ್ರದೇಶ
half,ಅರ್ಧ
rock,ರಾಕ್
order,ಆದೇಶ
fire,ಬೆಂಕಿ
south,ದಕ್ಷಿಣ
problem,ಸಮಸ್ಯೆ
piece,ತುಂಡು
told,ಹೇಳಿ
knew,ಅರಿವು
pass,ಉತ್ತೀರ್ಣ
since,ಅಂದಿನಿಂದ
top,ಅಗ್ರ
whole,ಇಡೀ
king,ರಾಜ
street,ರಸ್ತೆ
inch,ಇಂಚು
multiply,ಗುಣಿಸಿ
nothing,ಏನೂ ಇಲ್ಲ
course,ಕೋರ್ಸ್
stay,ಉಳಿದಿರು
wheel,ಚಕ್ರ
full,ಪೂರ್ಣ
force,ಬಲ
blue,ನೀಲಿ
object,ವಸ್ತು
decide,ನಿರ್ಧರಿಸು
surface,ಮೇಲ್ಮೈ
deep,ಆಳವಾದ
moon,ಚಂದ್ರ
island,ದ್ವೀಪ
foot,ಪಾದ
system,ವ್ಯವಸ್ಥೆ
busy,ನಿರತ
test,ಪರೀಕ್ಷೆ
record,ದಾಖಲೆ
boat,ದೋಣಿ
common,ಸಾಮಾನ್ಯ
gold,ಚಿನ್ನ
possible,ಸಂಭವನೀಯ
plane,ವಿಮಾನ
stead,ನೆಲೆ
dry,ಶುಷ್ಕ
wonder,ಆಶ್ಚರ್ಯ
laugh,ನಗು
thousand,ಸಾವಿರ
ago,ಹಿಂದೆ
ran,ಓಡು
check,ಪರಿಶೀಲಿಸು
game,ಆಟ
shape,ಆಕಾರ
equate,ಸಮನಾಗಿ
hot,ಬಿಸಿ
miss,ಮಿಸ್
brought,ತಂದರು
heat,ಶಾಖ
snow,ಹಿಮ
tire,ಟೈರ್
bring,ತರಿ
yes,ಹೌದು
distant,ದೂರದ
fill,ತುಂಬಿಸು
east,ಪೂರ್ವ
paint,ಪೇಂಟ್
language,ಭಾಷೆ
among,ನಡುವೆ
unit,ಘಟಕ
power,ಅಧಿಕಾರ
town,ಪಟ್ಟಣ
fine,ದಂಡ
certain,ಕೆಲವು
fly,ನೊಣ
fall,ಪತನ
lead,ಮುನ್ನಡೆಸು
cry,ಅಳಲು
dark,ಕತ್ತಲೆ
machine,ಯಂತ್ರ
note,ಸೂಚನೆ
wait,ನಿರೀಕ್ಷಿಸಿ
plan,ಯೋಜನೆ
figure,ಆಕೃತಿ
star,ನಕ್ಷತ್ರ
box,ಬಾಕ್ಸ್
noun,ನಾಮಪದ
field,ಕ್ಷೇತ್ರ
rest,ಉಳಿದ
correct,ಸರಿಯಾದ
able,ಸಮರ್ಥ
pound,ಪೌಂಡ್
done,ಮುಗಿದಿದೆ
beauty,ಸೌಂದರ್ಯ
drive,ಚಾಲನೆ
stood,ನಿಂತು
contain,ಒಳಗೊಂಡಿರು
front,ಮುಂದೆ
teach,ಕಲಿಸು
week,ವಾರದ
final,ಅಂತಿಮ
gave,ನೀಡಿದ
green,ಹಸಿರು
oh,ಓಹ್
quick,ತ್ವರಿತ
develop,ಅಭಿವೃದ್ಧಿ
ocean,ಸಾಗರ
warm,ಬೆಚ್ಚಗಾಗು
free,ಉಚಿತವಾಗಿ
minute,ನಿಮಿಷ
strong,ಪ್ರಬಲವಾದ
special,ವಿಶೇಷ
mind,ಮನಸ್ಸು
behind,ಹಿಂದೆ
clear,ಸ್ಪಷ್ಟ
tail,ಬಾಲ
produce,ಉತ್ಪಾದಿಸು
fact,ಸತ್ಯ
space,ಜಾಗ
heard,ಕೇಳಿದ
best,ಅತ್ಯುತ್ತಮ
hour,ಗಂಟೆ
better,ಉತ್ತಮ
TRUE,ನಿಜವಾದ
during,ಸಮಯದಲ್ಲಿ
hundred,ನೂರು
five,ಐದು
remember,ನೆನಪಿಡಿ
step,ಹಂತ
early,ಬೇಗ
hold,ಹೋಲ್ಡ್
west,ಪಶ್ಚಿಮಕ್ಕೆ
ground,ನೆಲ
interest,ಆಸಕ್ತಿ
reach,ತಲುಪು
fast,ವೇಗದ
verb,ಕ್ರಿಯಾಪದ
sing,ಹಾಡಿ
listen,ಕೇಳು
six,ಆರು
table,ಕೋಷ್ಟಕ
travel,ಪ್ರಯಾಣ
less,ಕಡಿಮೆ
morning,ಬೆಳಗ್ಗೆ
ten,ಹತ್ತು
simple,ಸರಳ
several,ಹಲವಾರು
vowel,ಸ್ವರ
toward,ಕಡೆಗೆ
war,ಯುದ್ಧ
lay,ಲೇ
against,ವಿರುದ್ಧವಾಗಿ
pattern,ಮಾದರಿ
slow,ನಿಧಾನ
center,ಕೇಂದ್ರ
love,ಪ್ರೀತಿ
person,ವ್ಯಕ್ತಿ
money,ಹಣ
serve,ಸೇರಿಸು
appear,ಕಾಣಿಸಿಕೊಳ್ಳು
road,ರಸ್ತೆ
map,ನಕ್ಷೆ
rain,ಮಳೆ
rule,ನಿಯಮ
govern,ಆಡಳಿತ
pull,ಪುಲ್
cold,ಶೀತ
notice,ಸೂಚನೆ
voice,ಧ್ವನಿ
energy,ಶಕ್ತಿ
hunt,ಹಂಟ್
probable,ಸಂಭವನೀಯ
bed,ಹಾಸಿಗೆ
brother,ಸೋದರ
egg,ಮೊಟ್ಟೆ
ride,ಸವಾರಿ ಮಾಡು
cell,ಕೋಶ
believe,ನಂಬು
perhaps,ಪ್ರಾಯಶಃ
pick,ಆಯ್ಕೆ
sudden,ಹಠಾತ್ತಾಗಿ
count,ಎಣಿಕೆ
square,ಚದರ
reason,ಕಾರಣ
length,ಉದ್ದ
represent,ಪ್ರತಿನಿಧಿಸು
art,ಕಲೆ
subject,ವಿಷಯ
region,ಪ್ರದೇಶ
size,ಗಾತ್ರ
vary,ಬದಲಾಗುತ್ತವೆ
settle,ನೆಲೆಸು
speak,ಮಾತನಾಡು
weight,ತೂಕ
general,ಸಾಮಾನ್ಯ
ice,ಮಂಜುಗಡ್ಡೆ
matter,ವಿಷಯ
circle,ವೃತ್ತ
pair,ಜೋಡಿ
include,ಒಳಗೊಂಡಿರುವ
divide,ಭಾಗಿಸು
syllable,ಉಚ್ಚಾರ
felt,ಭಾವಿಸಿದ
grand,ಭವ್ಯ
ball,ಚೆಂಡು
yet,ಆದರೂ
wave,ಅಲೆ
drop,ಬಿಡಿ
heart,ಹೃದಯ
am,am
present,ಪ್ರಸ್ತುತ
heavy,ಭಾರವಾದ
dance,ನೃತ್ಯ
engine,ಇಂಜಿನ್
position,ಸ್ಥಾನ
arm,ತೋಳು
wide,ವಿಶಾಲವಾದ
sail,ಹಾಯಿ
material,ವಸ್ತು
fraction,ಭಿನ್ನರಾಶಿ
forest,ಅರಣ್ಯ
sit,ಕುಳಿತುಕೊಳ್ಳಿ
race,ರೇಸ್
window,ಕಿಟಕಿ
store,ಅಂಗಡಿ
summer,ಬೇಸಿಗೆ
train,ರೈಲು
sleep,ನಿದ್ದೆ
prove,ಸಾಬೀತುಪಡಿಸು
lone,ಒಂಟಿಯಾಗಿರುವ
leg,ಕಾಲು
exercise,ವ್ಯಾಯಾಮ
wall,ಗೋಡೆ
catch,ಕ್ಯಾಚ್
mount,ಮೌಂಟ್
wish,ಬಯಕೆ
sky,ಆಕಾಶ
board,ಬೋರ್ಡ್
joy,ಸಂತೋಷ
winter,ಚಳಿಗಾಲ
sat,ಸತ್
written,ಬರೆಯಲ್ಪಟ್ಟ
wild,ಕಾಡು
instrument,ಉಪಕರಣ
kept,ಇಚ್ಚೆ
glass,ಗಾಜು
grass,ಹುಲ್ಲು
cow,ಹಸು
job,ಕೆಲಸ
edge,ಅಂಚಿನ
sign,ಸೈನ್ ಇನ್ ಮಾಡಿ
visit,ಭೇಟಿ
past,ಕಳೆದ
soft,ಸಾಫ್ಟ್
fun,ಮೋಜಿನ
bright,ಪ್ರಕಾಶಮಾನವಾದ
gas,ಅನಿಲ
weather,ಹವಾಮಾನ
month,ತಿಂಗಳು
million,ದಶಲಕ್ಷ
bear,ಕರಡಿ
finish,ಮುಗಿಸಲು
happy,ಸಂತೋಷ
hope,ಭರವಸೆ
flower,ಹೂವು
clothe,ಬಟ್ಟೆ
strange,ವಿಚಿತ್ರ
gone,ಹೋದ
trade,ವ್ಯಾಪಾರ
melody,ಮಧುರ
trip,ಪ್ರವಾಸ
office,ಕಚೇರಿ
receive,ಸ್ವೀಕರಿಸಿ
row,ಸಾಲು
mouth,ಬಾಯಿ
exact,ನಿಖರವಾದ
symbol,ಚಿಹ್ನೆ
die,ಸಾಯು
least,ಕನಿಷ್ಠ
trouble,ತೊಂದರೆ
shout,ಹುಯಿಲಿಡು
except,ಹೊರತುಪಡಿಸಿ
wrote,ಬರೆದರು
seed,ಬೀಜ
tone,ಟೋನ್
join,ಸೇರಿಸು
suggest,ಸೂಚಿಸುತ್ತದೆ
clean,ಶುದ್ಧ
break,ವಿರಾಮ
lady,ಮಹಿಳೆ
yard,ಗಜ
rise,ಏರಿಕೆ
bad,ಕೆಟ್ಟ
blow,ಸ್ಫೋಟಕ
oil,ತೈಲ
blood,ರಕ್ತ
touch,ಸ್ಪರ್ಶಿಸು
grew,ಬೆಳೆ
cent,ಸೆಂಟ್
mix,ಮಿಶ್ರಣ
team,ತಂಡ
wire,ತಂತಿ
cost,ವೆಚ್ಚ
lost,ಲಾಸ್ಟ್
brown,ಕಂದು ಬಣ್ಣ
wear,ಧರಿಸು
garden,ತೋಟ
equal,ಸಮಾನ
sent,ಕಳುಹಿಸಿದ
choose,ಆರಿಸಿ
fell,ಕುಸಿಯಿತು
fit,ಸರಿಹೊಂದುವ
flow,ಹರಿವು
fair,ನ್ಯಾಯವಾದ
bank,ಬ್ಯಾಂಕ್
collect,ಸಂಗ್ರಹಿಸಿ
save,ಉಳಿಸು
control,ನಿಯಂತ್ರಣ
decimal,ದಶಮಾನ
ear,ಕಿವಿ
else,ಬೇರೆ
quite,ಸಾಕಷ್ಟು
broke,ಮುರಿಯಿತು
case,ಪ್ರಕರಣ
middle,ಮಧ್ಯಮ
kill,ಕೊಲ್ಲು
son,ಮಗ
lake,ಸರೋವರ
moment,ಕ್ಷಣ
scale,ಪ್ರಮಾಣ
loud,ಗಟ್ಟಿಯಾಗಿ
spring,ವಸಂತ
observe,ಗಮನಿಸಿ
child,ಮಗು
straight,ನೇರ
consonant,ವ್ಯಂಜನ
nation,ರಾಷ್ಟ್ರ
dictionary,ಶಬ್ದ ಆಟಗಳು
milk,ಹಾಲು
speed,ವೇಗ
method,ವಿಧಾನ
organ,ಅಂಗ
pay,ಪಾವತಿ
age,ವಯಸ್ಸು
section,ವಿಭಾಗ
dress,ಉಡುಪು
cloud,ಮೇಘ
surprise,ಅಚ್ಚರಿ
quiet,ಶಾಂತ
stone,ಕಲ್ಲು
tiny,ಸಣ್ಣ
climb,ಆರೋಹಣ
cool,ಕೂಗು
design,ವಿನ್ಯಾಸ
poor,ಕಳಪೆ
lot,ಸಾಕಷ್ಟು
experiment,ಪ್ರಯೋಗ
bottom,ಕೆಳಗೆ
key,ಕೀಲಿ
iron,ಕಬ್ಬಿಣ
single,ಒಂದೇ
stick,ಸ್ಟಿಕ್
flat,ಚಪ್ಪಟೆ
twenty,ಇಪ್ಪತ್ತು
skin,ಚರ್ಮ
smile,ನಸು
crease,ಕ್ರೀಸ್
hole,ರಂಧ್ರ
jump,ನೆಗೆಯುವುದನ್ನು
baby,ಮಗು
eight,ಎಂಟು
village,ವಿಲೇಜ್
meet,ಭೇಟಿಯಾಗು
root,ಬೇರು
buy,ಖರೀದಿಸು
raise,ಬೆಳೆಸು
solve,ಪರಿಹರಿಸು
metal,ಲೋಹದ
whether,ಎಂದು
push,ಪುಶ್
seven,ಏಳು
paragraph,ಪ್ಯಾರಾಗ್ರಾಫ್
third,ಮೂರನೆಯ
shall,ಹಾಗಿಲ್ಲ
held,ನಡೆದ
hair,ಕೂದಲು
describe,ವಿವರಿಸು
cook,ಕುಕ್
floor,ಮಹಡಿ
either,ಒಂದೋ
result,ಫಲಿತಾಂಶ
burn,ಸುಟ್ಟುಹಾಕು
hill,ಬೆಟ್ಟ
safe,ಸುರಕ್ಷಿತ
cat,ಬೆಕ್ಕು
century,ಶತಮಾನದ
consider,ಪರಿಗಣಿಸಿ
type,ಮಾದರಿ
law,ಕಾನೂನು
bit,ಬಿಟ್
coast,ಕರಾವಳಿ
copy,ನಕಲು
phrase,ನುಡಿಗಟ್ಟು
silent,ಮೂಕ
tall,ಎತ್ತರದ
sand,ಮರಳು
soil,ಮಣ್ಣು
roll,ರೋಲ್
temperature,ತಾಪಮಾನ
finger,ಬೆರಳು
industry,ಉದ್ಯಮ
value,ಮೌಲ್ಯ
fight,ಹೋರಾಟ
lie,ಸುಳ್ಳು
beat,ಬೀಟ್
excite,ಪ್ರಚೋದಿಸು
natural,ನೈಸರ್ಗಿಕ
view,ನೋಟ
sense,ಅರ್ಥ
capital,ರಾಜಧಾನಿ
won’t,ಆಗುವುದಿಲ್ಲ
chair,ಕುರ್ಚಿ
danger,ಅಪಾಯ
fruit,ಹಣ್ಣು
rich,ಶ್ರೀಮಂತ
thick,ದಪ್ಪ
soldier,ಸೈನಿಕ
process,ಪ್ರಕ್ರಿಯೆ
operate,ಕಾರ್ಯನಿರ್ವಹಿಸು
practice,ಅಭ್ಯಾಸ
separate,ಪ್ರತ್ಯೇಕವಾಗಿ
difficult,ಕಷ್ಟ
doctor,ವೈದ್ಯರು
please,ದಯವಿಟ್ಟು
protect,ರಕ್ಷಿಸು
noon,ಮಧ್ಯಾಹ್ನ
crop,ಬೆಳೆ
modern,ಆಧುನಿಕ
element,ಅಂಶ
hit,ಹಿಟ್
student,ವಿದ್ಯಾರ್ಥಿ
corner,ಮೂಲೆಯಲ್ಲಿ
party,ಪಕ್ಷ
supply,ಪೂರೈಸು
whose,ಯಾರ
locate,ಪತ್ತೆಮಾಡು
ring,ಉಂಗುರ
character,ಪಾತ್ರ
insect,ಕೀಟ
caught,ಹಿಡಿದ
period,ಅವಧಿ
indicate,ಸೂಚಿಸು
radio,ರೇಡಿಯೋ
spoke,ಮಾತನಾಡಿದರು
atom,ಪರಮಾಣು
human,ಮನುಷ್ಯ
history,ಇತಿಹಾಸ
effect,ಪರಿಣಾಮ
electric,ವಿದ್ಯುದ್ವಾರ
expect,ನಿರೀಕ್ಷಿಸಬಹುದು
bone,ಮೂಳೆ
rail,ರೈಲ್ವೆ
imagine,ಊಹಿಸು
provide,ಒದಗಿಸು
agree,ಒಪ್ಪು
thus,ಹೀಗಾಗಿ
gentle,ಶಾಂತ
woman,ಮಹಿಳೆ
captain,ನಾಯಕ
guess,ಊಹೆ
necessary,ಅಗತ್ಯ
sharp,ಚೂಪಾದ
wing,ವಿಂಗ್
create,ಸೃಷ್ಟಿಸು
neighbor,ನೆರೆಹೊರೆ
wash,ತೊಳೆಯಿರಿ
bat,ಬ್ಯಾಟ್
rather,ಬದಲಿಗೆ
crowd,ಗುಂಪು
corn,ಕಾರ್ನ್
compare,ಹೋಲಿಸಿ
poem,ಕವಿತೆ
string,ಸ್ಟ್ರಿಂಗ್
bell,ಗಂಟೆ
depend,ಅವಲಂಬಿಸಿ
meat,ಮಾಂಸ
rub,ರಬ್ಬಿ
tube,ಕೊಳವೆ
famous,ಖ್ಯಾತ
dollar,ಡಾಲರ್
stream,ಸ್ಟ್ರೀಮ್
fear,ಭಯ
sight,ದೃಷ್ಟಿ
thin,ತೆಳುವಾದ
triangle,ತ್ರಿಕೋನ
planet,ಗ್ರಹ
hurry,ಅತ್ಯಾತುರ
chief,ಮುಖ್ಯಸ್ಥ
colony,ವಸಾಹತು
clock,ಗಡಿಯಾರ
mine,ಗಣಿ
tie,ಕಟ್ಟು
enter,ಪ್ರವೇಶಿಸು
major,ಪ್ರಮುಖ
fresh,ತಾಜಾ
search,ಹುಡುಕಿ Kannada
send,ಕಳುಹಿಸು
yellow,ಹಳದಿ
gun,ಗನ್
allow,ಅನುಮತಿಸು
print,ಮುದ್ರಿಸಿ
dead,ಸತ್ತ
spot,ಸ್ಥಳ
desert,ಮರುಭೂಮಿ
suit,ಸೂಟ್
current,ಪ್ರಸಕ್ತ
lift,ಎತ್ತು
rose,ಗುಲಾಬಿ
arrive,ಆಗಮಿಸಿ
master,ಮಾಸ್ಟರ್
track,ಟ್ರ್ಯಾಕ್
parent,ಪೋಷಕ
shore,ತೀರ
division,ವಿಭಜನೆ
sheet,ಹಾಳೆ
substance,ವಸ್ತು
favor,ಪರವಾಗಿ
connect,ಸಂಪರ್ಕ
post,ಅಂಗೀಕಾರ
spend,ಕಳೆ
chord,ಸ್ವರಮೇಳ
fat,ಕೊಬ್ಬು
glad,ಸಂತೋಷ
original,ಮೂಲ
share,ಪಾಲು
station,ನಿಲ್ದಾಣ
dad,ತಂದೆ
bread,ಬ್ರೆಡ್
charge,ಶುಲ್ಕ
proper,ಸರಿಯಾದ
bar,ಬಾರ್
offer,ನೀಡು
segment,ಭಾಗ
slave,ಗುಲಾಮ
duck,ಬಾತುಕೋಳಿ
instant,ತ್ವರಿತ
market,ಮಾರುಕಟ್ಟೆ
degree,ಪದವಿ
populate,ಜನಪ್ರಿಯಗೊಳಿಸು
chick,ಚಿಕ್
dear,ಪ್ರೀತಿಯ
enemy,ಶತ್ರು
reply,ಪ್ರತ್ಯುತ್ತರ
drink,ಕುಡಿ
occur,ಸಂಭವಿಸು
support,ಬೆಂಬಲ
speech,ಭಾಷಣ
nature,ಪ್ರಕೃತಿ
range,ಶ್ರೇಣಿ
steam,ಆವಿ
motion,ಮೋಷನ್
path,ಮಾರ್ಗ
liquid,ದ್ರವ
log,ಲಾಗ್
meant,ಅರ್ಥವಿಲ್ಲದ
quotient,ಅಂಶ
teeth,ಹಲ್ಲುಗಳು
shell,ಶೆಲ್
neck,ಕುತ್ತಿಗೆ
oxygen,ಆಮ್ಲಜನಕ
sugar,ಸಕ್ಕರೆ
death,ಸಾವು
pretty,ಸಾಕಷ್ಟು
skill,ನೈಪುಣ್ಯ
women,ಮಹಿಳೆಯರು
season,ಋತು
solution,ಪರಿಹಾರ
magnet,ಅಯಸ್ಕಾಂತ
silver,ಬೆಳ್ಳಿ
thank,ಕೃತಜ್ಞತೆ
branch,ಶಾಖೆ
match,ಹೊಂದಾಣಿಕೆ
suffix,ಪ್ರತ್ಯಣ
especially,ವಿಶೇಷವಾಗಿ
fig,ಅಂಜೂರ
afraid,ಹೆದರುತ್ತಿದ್ದರು
huge,ಭಾರಿ
sister,ಸೋದರಿ
steel,ಉಕ್ಕು
discuss,ಚರ್ಚಿಸು
forward,ಮುಂದೆ
similar,ಸದೃಶ
guide,ಮಾರ್ಗದರ್ಶಿ
experience,ಅನುಭವ
score,ಸ್ಕೋರ್
apple,ಸೇಬು
bought,ಕೊಂಡರು
led,ಎಲ್ ಇ ಡಿ
pitch,ಪಿಚ್
coat,ಕೋಟ್
mass,ಸಮೂಹ
card,ಕಾರ್ಡ್
band,ಬ್ಯಾಂಡ್
